fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality_tier
5.2,0.25,0.24,5.7,0.047,10,155,0.9891,3.18,0.43,10.4,3
6.9,0.18,0.17,2.6,0.076,30,178,0.9985,3.38,0.49,8.5,2
5.8,0.69,0.42,1.6,0.076,38,8,0.9988,3.22,0.58,9.8,2
6.4,0.3,0.25,23.4,0.054,58,70,0.9987,3.37,0.45,10.4,2
7.2,0.47,0.27,3.5,0.02,29,90,0.9917,3.23,0.55,10.7,2
6.6,0.27,0.22,7.0,0.088,55,111,0.9935,3.33,0.58,11.5,2
8.0,0.31,0.38,7.8,0.009,18,129,0.9971,2.98,0.54,8.0,3
11.0,0.7,0.26,4.9,0.027,20,48,0.9956,3.45,0.76,10.1,2
6.9,0.23,0.46,2.9,0.067,23,136,0.9911,3.17,0.56,11.8,2
6.8,0.34,0.4,4.8,0.071,45,46,0.9992,2.94,0.56,10.0,3
5.3,0.29,0.47,1.6,0.056,23,158,0.9927,3.38,0.34,11.1,3
8.0,0.25,0.58,7.2,0.03,48,91,0.9941,3.5,0.3,10.5,2
5.7,0.19,0.58,3.1,0.041,37,113,0.9957,3.21,0.57,10.2,2
7.2,0.23,0.18,2.5,0.015,40,99,0.9937,3.2,0.34,10.3,3
6.2,0.17,0.68,8.8,0.064,49,100,0.9948,3.29,0.57,10.9,2
6.8,0.5,0.46,2.8,0.035,38,135,0.9936,3.06,0.3,10.0,2
9.3,0.37,0.55,1.5,0.018,1,57,0.9955,3.48,0.53,10.0,2
7.5,0.2,0.53,18.6,0.038,22,172,0.9935,3.03,0.57,13.8,2
8.5,0.43,0.4,11.0,0.012,7,21,0.9959,3.17,0.74,10.3,2
7.5,0.35,0.56,29.3,0.065,37,106,0.9891,3.29,0.39,11.6,2
7.4,0.4,0.18,1.4,0.081,29,67,0.9954,3.27,0.77,9.3,2
6.6,0.31,0.42,4.0,0.037,32,107,0.9939,2.97,0.24,11.3,2
7.0,0.44,0.45,1.3,0.012,17,6,0.9986,3.25,0.71,9.4,2
4.6,0.57,0.33,2.3,0.067,23,80,1.0004,3.28,0.57,9.2,2
9.9,0.46,0.37,5.7,0.076,39,88,0.999,3.19,0.56,9.7,2
7.8,0.32,0.23,12.5,0.051,31,213,0.9958,3.15,0.45,9.5,3
7.3,0.66,0.08,3.4,0.043,12,27,0.9997,3.18,0.88,11.3,2
6.7,0.27,0.54,10.1,0.067,26,127,0.9942,3.3,0.43,10.2,2
5.7,0.21,0.27,5.8,0.032,30,150,0.99,3.19,0.51,11.2,2
7.7,0.21,0.52,16.0,0.066,29,114,0.9958,3.24,0.54,9.9,2
8.4,0.72,0.42,1.2,0.052,8,44,1.0015,3.11,0.73,11.5,2
5.6,0.47,0.25,9.9,0.072,33,167,0.9965,3.31,0.37,10.8,3
9.2,0.4,0.1,2.6,0.142,13,46,0.9964,3.24,0.68,12.8,2
7.3,0.08,0.3,3.2,0.012,45,141,0.9915,3.32,0.51,10.8,2
7.6,0.31,0.32,7.2,0.08,28,220,0.996,3.02,0.47,10.2,2
6.5,0.47,0.45,1.6,0.088,6,47,0.9984,3.38,0.86,11.1,2
9.9,0.49,0.13,3.3,0.076,22,98,0.9987,3.15,0.61,13.2,3
8.4,0.28,0.29,5.7,0.048,31,154,0.9967,3.16,0.47,12.5,3
5.9,0.54,0.51,7.8,0.046,45,155,0.9912,3.05,0.63,13.7,2
6.0,0.31,0.09,8.3,0.057,21,98,0.9942,2.86,0.25,9.6,3
8.0,0.58,0.55,1.6,0.209,1,56,0.9965,3.33,0.61,9.4,2
5.4,0.29,0.48,9.7,0.055,18,210,0.9937,3.31,0.48,11.3,2
6.8,0.36,0.47,11.4,0.049,25,206,0.9976,3.34,0.22,12.2,2
7.0,0.28,0.39,2.6,0.034,36,192,0.9923,3.18,0.39,10.3,2
6.8,0.32,0.36,3.1,0.068,34,207,0.9903,3.11,0.63,11.0,2
6.5,0.15,0.33,11.2,0.023,3,132,0.9924,3.12,0.54,9.5,2
7.4,0.3,0.28,56.5,0.056,38,16,0.9962,3.06,0.61,8.8,2
7.2,0.17,0.36,62.5,0.036,34,185,1.0012,3.0,0.59,11.5,3
10.9,0.21,0.26,2.9,0.111,12,6,0.9971,3.31,0.74,11.9,2
7.4,0.27,0.42,3.9,0.045,65,160,0.9938,3.44,0.65,12.1,2
5.8,0.31,0.21,12.5,0.064,55,150,0.9899,3.47,0.42,9.4,2
6.4,0.3,0.3,3.1,0.027,27,57,0.987,3.37,0.37,10.4,3
9.5,0.36,0.41,23.2,0.086,26,181,0.9961,3.22,0.45,10.3,2
7.5,0.25,0.25,5.6,0.046,21,133,0.9916,3.2,0.57,10.6,3
10.7,0.53,0.7,13.5,0.158,13,40,0.9979,3.33,0.7,11.1,2
5.8,0.08,0.46,2.5,0.066,58,139,0.9912,3.32,0.39,10.8,2
7.3,0.31,0.2,6.2,0.078,41,58,0.9982,3.28,0.47,12.7,3
7.1,0.38,0.5,16.7,0.058,54,140,0.9974,3.32,0.44,11.0,2
8.8,0.32,0.21,15.4,0.036,29,136,0.9888,3.34,0.38,10.6,2
7.0,0.22,0.4,27.6,0.064,48,157,0.9918,3.29,0.61,11.1,2
5.6,0.21,0.47,8.2,0.053,2,187,0.9977,3.33,0.56,10.5,2
6.0,0.26,0.43,3.8,0.046,6,155,1.0005,3.26,0.44,10.6,2
8.1,0.41,0.14,5.5,0.047,35,128,0.991,3.28,0.6,12.6,2
6.9,0.08,0.33,9.1,0.054,43,151,0.9896,3.15,0.6,10.5,2
7.3,0.35,0.06,1.6,0.102,2,29,0.9956,3.39,0.81,10.6,3
7.9,0.61,0.14,1.2,0.117,7,27,0.994,3.25,0.61,10.2,2
7.9,0.45,0.29,2.3,0.136,17,67,0.9982,3.35,0.6,9.4,2
8.9,0.48,0.0,1.6,0.157,28,35,0.9996,3.15,0.87,10.4,2
6.6,0.41,0.38,8.2,0.041,50,106,0.9956,3.3,0.44,10.0,2
7.1,0.34,0.59,2.7,0.05,54,73,0.9978,3.12,0.52,13.1,3
7.7,0.28,0.32,11.8,0.047,66,42,0.9915,3.43,0.53,11.3,3
6.7,0.39,0.39,20.1,0.051,52,88,0.9979,3.47,0.62,11.7,2
8.0,0.31,0.53,17.3,0.028,39,171,0.9962,3.37,0.71,12.8,3
6.3,0.09,0.29,16.6,0.052,21,133,0.994,3.08,0.52,9.8,2
5.0,0.29,0.04,13.7,0.098,25,196,0.9915,3.23,0.49,11.1,2
6.2,0.44,0.08,3.6,0.065,28,125,0.9964,2.84,0.49,10.9,2
7.9,0.37,0.38,9.4,0.024,35,153,0.9915,3.35,0.63,12.0,2
6.4,0.31,0.19,14.0,0.076,38,160,0.9949,3.37,0.67,10.5,2
8.4,0.62,0.51,5.7,0.151,31,100,0.9982,3.45,0.72,9.5,2
6.3,0.35,0.28,12.6,0.083,39,177,0.9912,3.19,0.4,10.5,3
7.8,0.44,0.28,11.9,0.009,26,169,0.9971,3.41,0.53,8.5,2
7.7,0.29,0.43,24.9,0.031,41,149,0.9944,3.14,0.56,11.5,3
6.3,0.36,0.25,1.8,0.014,55,173,0.993,3.24,0.57,10.9,3
7.0,0.55,0.29,6.5,0.062,10,97,0.992,3.19,0.55,8.0,2
6.7,0.3,0.18,47.3,0.072,69,126,0.9964,3.18,0.57,10.9,3
6.4,0.22,0.23,1.2,0.184,18,65,0.996,3.47,0.84,9.6,2
7.4,0.3,0.39,3.9,0.014,52,172,0.9941,3.23,0.63,8.1,2
11.6,0.41,0.19,1.2,0.148,23,76,0.998,3.29,0.85,10.0,1
5.0,0.25,0.19,59.4,0.052,39,153,0.9943,3.19,0.66,9.3,2
7.6,0.29,0.0,3.2,0.04,38,135,0.9952,3.42,0.66,12.1,2
5.2,0.31,0.32,6.0,0.035,48,57,0.9985,3.26,0.35,10.3,3
8.2,0.46,0.41,9.9,0.052,53,172,0.9948,3.06,0.61,12.6,2
9.4,0.5,0.52,1.2,0.061,6,52,0.996,3.22,0.83,10.5,2
6.7,0.27,0.45,3.4,0.067,46,98,0.9933,3.2,0.48,10.8,2
8.2,0.64,0.57,1.2,0.145,12,6,0.9982,3.43,0.61,11.6,2
7.2,0.09,0.59,14.7,0.046,11,182,0.9951,3.15,0.56,11.4,2
5.5,0.22,0.39,13.6,0.077,59,176,0.9944,3.33,0.6,10.1,2
8.2,0.25,0.51,37.8,0.009,32,112,0.9909,3.44,0.41,10.3,2
7.4,0.2,0.4,10.5,0.056,61,148,0.9972,3.3,0.49,9.1,2
7.9,0.33,0.62,16.8,0.05,54,130,0.9924,3.22,0.78,10.9,2
5.7,0.36,0.46,7.2,0.072,37,176,0.9985,3.34,0.4,11.2,2
7.4,0.08,0.34,40.0,0.028,47,179,0.9945,3.03,0.59,8.5,2
8.4,0.39,0.37,1.7,0.012,17,52,0.9975,3.27,0.69,10.4,2
5.6,0.21,0.29,23.5,0.009,26,127,0.9972,3.35,0.58,11.9,3
5.1,0.26,0.33,1.8,0.066,35,194,0.9954,3.01,0.6,12.0,3
6.9,0.48,0.44,8.7,0.009,32,165,0.9919,3.24,0.34,12.4,2
7.5,0.14,0.45,14.4,0.06,23,188,0.9908,3.01,0.69,9.0,2
7.3,0.29,0.15,16.2,0.026,53,146,0.9962,3.17,0.51,10.2,2
7.0,0.32,0.24,20.9,0.062,53,76,0.9923,3.29,0.62,10.9,2
6.0,0.22,0.44,3.4,0.056,27,159,0.9933,3.19,0.71,10.7,3
7.3,0.25,0.35,15.5,0.056,43,168,0.9929,2.75,0.54,11.7,3
6.6,0.28,0.23,5.4,0.053,47,116,0.9978,3.08,0.48,11.9,2
7.2,0.75,0.05,3.1,0.056,14,90,0.9967,3.52,0.54,11.6,2
7.4,0.56,0.21,1.2,0.12,24,79,0.9961,3.36,0.79,10.3,2
11.6,0.77,0.16,3.4,0.106,10,31,0.9972,3.62,0.66,12.3,2
7.8,0.32,0.27,35.1,0.073,53,162,0.9977,3.15,0.41,9.3,2
7.4,0.27,0.29,11.7,0.048,2,160,0.9966,3.08,0.39,9.5,1
6.2,0.19,0.16,14.0,0.048,37,100,0.9894,3.52,0.22,10.7,2
7.2,0.39,0.42,16.1,0.061,55,122,0.9969,3.21,0.7,12.9,2
7.6,0.37,0.34,3.2,0.051,35,76,0.993,2.85,0.67,10.9,2
7.1,0.35,0.57,20.3,0.009,41,104,0.9952,2.95,0.43,9.7,2
7.0,0.31,0.39,29.2,0.048,40,149,0.9902,3.12,0.41,10.1,2
7.7,0.33,0.52,14.0,0.043,25,122,0.9928,3.52,0.56,8.4,2
6.7,0.2,0.06,10.4,0.097,56,210,0.9898,3.17,0.48,11.4,3
8.3,0.68,0.32,1.2,0.037,4,39,0.9962,3.33,0.33,10.9,1
10.9,0.55,0.0,1.5,0.151,14,6,1.0009,3.5,0.97,12.5,2
6.3,0.08,0.42,54.1,0.083,40,119,0.9951,3.25,0.56,11.4,2
10.9,0.88,0.43,1.9,0.129,20,67,0.996,3.38,0.73,11.3,2
7.5,0.08,0.15,19.8,0.057,38,225,0.998,3.21,0.35,11.2,2
8.0,0.32,0.26,1.7,0.074,15,6,0.9977,3.09,0.84,10.8,2
6.8,0.33,0.16,8.7,0.079,2,151,0.9977,3.33,0.5,10.1,2
6.5,0.38,0.33,4.4,0.051,12,83,0.987,3.29,0.51,10.7,2
8.2,0.43,0.28,1.2,0.07,27,28,0.9977,3.44,0.57,11.4,2
7.5,0.2,0.3,1.9,0.051,45,176,0.999,3.41,0.49,11.1,1
7.1,0.17,0.52,5.8,0.087,11,230,0.995,2.98,0.54,9.1,2
7.6,0.21,0.31,47.4,0.065,28,113,0.9977,3.2,0.38,10.0,2
6.7,0.36,0.47,8.8,0.051,36,177,0.9971,3.26,0.28,11.9,2
7.5,0.29,0.42,17.5,0.058,25,187,0.9979,3.28,0.69,9.3,3
5.4,0.48,0.46,1.2,0.057,16,87,0.998,3.16,0.91,9.3,2
9.1,0.24,0.4,4.9,0.037,29,198,0.9874,3.03,0.35,10.6,2
7.5,0.19,0.28,7.2,0.065,42,137,1.0019,3.24,0.43,8.2,3
7.3,0.22,0.44,5.1,0.029,52,145,0.9897,3.17,0.49,8.9,2
6.5,0.12,0.19,5.5,0.086,41,96,0.9941,3.08,0.47,9.9,3
6.5,0.24,0.23,47.0,0.019,5,43,0.996,3.16,0.45,10.2,2
7.3,0.27,0.57,10.7,0.016,27,160,0.9949,3.08,0.44,12.5,2
6.5,0.31,0.51,5.1,0.059,11,121,0.9933,3.3,0.37,10.7,2
6.6,0.57,0.08,1.3,0.114,11,40,0.9982,3.58,0.33,10.6,2
5.8,0.41,0.13,48.1,0.063,24,42,0.9967,3.16,0.56,12.0,2
6.5,0.45,0.34,61.2,0.047,21,117,0.9972,3.13,0.5,11.9,3
9.3,0.63,0.01,3.2,0.082,22,30,0.999,3.11,0.47,9.7,2
6.9,0.24,0.41,42.2,0.048,33,151,0.9945,3.44,0.34,8.9,2
7.6,0.08,0.49,7.9,0.072,40,107,0.9922,3.12,0.56,9.2,2
7.1,0.36,0.42,12.1,0.061,44,150,0.9984,3.32,0.46,9.5,2
6.2,0.32,0.29,65.8,0.072,53,169,0.989,3.03,0.48,11.2,3
6.3,0.4,0.4,26.2,0.047,67,151,0.9912,3.01,0.5,10.4,2
7.0,0.22,0.44,8.9,0.044,46,157,0.9919,2.93,0.58,9.7,2
8.7,0.62,0.06,1.8,0.041,7,68,0.9981,3.56,0.48,12.6,2
5.3,0.38,0.08,4.5,0.035,27,190,0.9949,3.38,0.63,10.1,2
7.4,0.42,0.33,8.0,0.009,42,133,0.995,3.05,0.42,9.6,2
6.6,0.1,0.38,4.4,0.015,24,115,0.9983,3.22,0.31,9.9,3
5.6,0.33,0.36,5.7,0.06,48,164,0.9961,3.26,0.37,9.9,2
7.6,0.33,0.44,23.7,0.053,39,146,0.9938,3.41,0.47,8.2,2
6.5,0.67,0.64,1.4,0.101,12,34,1.0003,3.31,0.33,11.2,3
9.2,0.62,0.4,1.2,0.084,7,122,0.9953,3.31,0.73,9.8,2
5.6,0.36,0.31,9.1,0.025,25,223,0.9992,3.21,0.42,12.4,2
6.8,0.34,0.22,16.2,0.047,2,187,0.9946,3.31,0.53,10.4,2
8.1,0.19,0.35,4.9,0.07,51,214,0.9964,3.35,0.46,8.9,2
7.4,0.08,0.15,14.9,0.032,58,117,0.9944,2.95,0.63,10.9,2
7.8,0.22,0.42,4.3,0.054,30,203,0.9991,3.18,0.57,9.7,2
7.2,0.18,0.37,5.9,0.04,30,147,0.9919,3.21,0.53,13.1,2
8.1,0.33,0.35,6.4,0.098,32,114,0.9967,3.04,0.44,12.1,2
7.2,0.28,0.44,41.0,0.035,31,187,0.9926,3.41,0.48,9.1,3
6.6,0.33,0.35,3.5,0.009,51,203,0.9909,3.12,0.39,8.0,2
6.9,0.14,0.43,3.9,0.044,34,207,0.9919,3.07,0.53,10.7,3
6.6,0.18,0.34,50.6,0.052,9,123,0.9941,3.05,0.31,11.6,2
7.3,0.28,0.29,4.0,0.071,26,166,0.9955,3.08,0.5,9.4,2
8.3,0.67,0.0,1.4,0.086,8,59,0.9959,3.27,0.69,10.4,2
7.0,0.48,0.33,4.9,0.057,37,140,0.9943,3.48,0.51,8.4,2
6.7,0.45,0.35,3.3,0.092,49,110,0.9971,2.99,0.43,10.7,3
5.5,0.39,0.32,16.7,0.029,56,111,0.9925,3.2,0.51,9.4,2
7.6,0.43,0.22,21.9,0.044,36,258,0.9935,3.03,0.52,11.8,2
7.1,0.45,0.45,6.1,0.024,26,79,0.9928,3.0,0.48,9.3,2
7.2,0.7,0.53,1.2,0.108,13,27,0.9904,3.47,0.34,11.1,2
8.0,0.27,0.36,7.6,0.057,37,135,0.99,3.07,0.58,11.2,3
7.6,0.19,0.46,15.7,0.037,56,138,0.9943,3.37,0.6,9.5,2
8.0,0.26,0.4,10.4,0.026,53,68,0.9947,3.1,0.52,12.3,2
7.0,0.1,0.42,9.6,0.067,39,138,0.9954,3.15,0.45,9.6,2
7.8,0.26,0.32,2.5,0.036,45,98,0.9918,3.17,0.52,11.0,2
7.4,0.31,0.34,14.6,0.031,44,110,0.9974,2.98,0.49,8.5,2
7.0,0.44,0.27,3.7,0.091,1,7,0.9979,3.2,0.83,8.9,2
7.3,0.29,0.33,7.8,0.013,42,185,0.9916,3.41,0.54,11.6,2
6.2,0.33,0.09,12.6,0.064,38,156,0.9949,3.2,0.52,11.6,2
7.0,0.3,0.17,8.1,0.094,20,133,0.9972,3.17,0.58,12.2,2
5.7,0.46,0.35,2.9,0.04,2,173,0.9897,3.04,0.6,9.9,2
8.4,0.64,0.32,1.2,0.105,32,63,0.9977,3.19,0.6,9.1,2
8.0,0.24,0.32,10.5,0.053,52,120,0.9929,3.14,0.35,8.0,2
7.7,0.38,0.35,16.3,0.029,31,140,0.9921,3.02,0.52,11.6,2
7.1,0.17,0.41,3.6,0.045,48,190,0.9933,3.12,0.47,9.8,2
7.3,0.3,0.28,3.4,0.125,31,36,0.996,3.45,0.58,9.8,2
7.4,0.27,0.41,5.4,0.07,7,97,0.9901,3.33,0.42,9.8,2
6.4,0.16,0.37,5.3,0.051,24,90,0.9963,3.34,0.41,9.1,2
8.3,0.29,0.39,4.1,0.036,29,146,0.9956,2.95,0.62,8.0,2
8.3,0.34,0.3,2.8,0.027,33,191,0.9919,3.14,0.54,10.7,2
5.9,0.34,0.38,35.7,0.071,39,97,0.9897,3.38,0.44,12.3,2
6.5,0.17,0.32,12.4,0.028,18,105,0.9938,3.37,0.62,10.2,2
8.0,0.34,0.43,5.6,0.039,47,83,0.9899,3.43,0.67,8.2,2
7.2,0.27,0.55,64.4,0.074,39,62,0.992,3.15,0.5,9.5,2
6.4,0.15,0.3,3.7,0.05,9,111,0.9957,2.78,0.4,10.4,3
6.8,0.28,0.51,32.0,0.032,22,172,0.992,2.93,0.66,10.2,2
7.3,0.31,0.09,1.2,0.18,1,32,0.9997,3.63,0.61,10.9,2
8.0,0.27,0.35,3.9,0.064,32,216,0.9917,3.11,0.54,10.1,2
6.3,0.33,0.3,24.8,0.067,2,135,0.9965,3.19,0.49,10.3,2
8.6,0.42,0.23,4.1,0.055,40,243,0.9945,3.11,0.57,10.0,2
7.9,0.28,0.3,31.3,0.056,16,91,0.9915,3.2,0.37,9.9,2
6.1,0.32,0.18,6.2,0.029,41,111,0.9934,3.44,0.66,9.2,3
7.5,0.33,0.46,25.4,0.017,2,136,0.9954,3.42,0.72,10.7,2
6.9,0.42,0.33,5.1,0.031,49,125,0.9942,3.12,0.64,11.1,2
6.6,0.36,0.12,17.7,0.062,6,110,0.9933,3.14,0.42,11.6,2
7.1,0.22,0.21,2.4,0.066,44,102,0.9919,2.97,0.54,11.2,2
4.9,0.36,0.31,1.2,0.024,31,43,0.9973,3.14,0.53,9.9,2
5.3,0.39,0.23,19.9,0.065,23,167,0.9971,3.06,0.4,9.1,2
5.7,0.42,0.59,21.2,0.053,48,120,0.9951,3.21,0.48,11.9,1
7.9,0.36,0.09,27.4,0.065,61,144,0.9965,3.23,0.46,12.3,2
7.9,0.3,0.41,9.2,0.047,37,98,0.9964,2.88,0.59,10.1,3
7.8,0.41,0.3,10.6,0.075,31,129,0.9949,2.99,0.46,10.5,2
7.2,0.63,0.0,1.4,0.05,11,52,0.9993,2.95,0.61,9.5,2
7.2,0.39,0.36,12.4,0.048,23,158,0.9965,3.01,0.46,10.4,3
8.4,0.46,0.3,2.1,0.127,7,9,0.9957,3.51,0.75,8.9,2
7.7,0.38,0.2,26.5,0.042,2,166,0.9912,3.35,0.22,9.1,2
6.8,0.25,0.18,65.8,0.031,18,43,0.9983,3.01,0.51,9.2,1
6.4,0.32,0.38,7.0,0.028,36,184,0.9926,2.77,0.51,12.4,2
7.8,0.16,0.18,31.1,0.017,55,159,0.9928,3.04,0.56,10.3,3
7.3,0.29,0.19,20.1,0.046,28,59,0.9942,3.06,0.39,11.5,2
6.4,0.46,0.29,6.5,0.027,40,137,0.9926,3.23,0.59,9.8,3
6.1,0.19,0.24,11.9,0.023,53,130,0.9919,3.2,0.68,10.9,2
7.4,0.16,0.25,7.2,0.039,28,244,0.9904,3.25,0.44,10.6,3
7.6,0.13,0.24,2.0,0.047,19,180,0.9969,2.89,0.23,10.3,2
9.2,0.36,0.4,6.7,0.019,45,120,0.9955,3.26,0.62,10.8,2
5.8,0.29,0.18,2.8,0.024,17,148,0.9927,3.01,0.57,8.9,2
7.5,0.39,0.25,13.3,0.053,49,143,1.0019,3.34,0.43,11.0,2
7.1,0.24,0.37,4.5,0.048,31,103,0.998,3.2,0.51,11.4,2
10.1,0.43,0.01,2.0,0.132,23,49,0.9979,3.42,0.92,9.0,2
7.3,0.31,0.44,6.6,0.072,2,174,0.9914,3.06,0.49,9.0,2
6.1,0.26,0.26,14.1,0.035,29,112,0.9937,3.36,0.55,8.7,2
8.6,0.23,0.21,3.7,0.012,21,50,0.9972,3.42,0.33,12.4,2
7.6,0.34,0.17,9.9,0.042,48,156,0.9878,3.16,0.34,12.2,2
7.5,0.27,0.34,1.0,0.059,22,66,0.9919,3.21,0.52,12.1,2
12.1,0.7,0.11,6.1,0.035,1,74,0.9962,3.16,0.52,9.1,2
6.0,0.44,0.28,1.9,0.166,10,15,0.9971,3.36,0.52,12.2,2
7.2,0.3,0.49,4.8,0.039,4,135,0.9929,3.27,0.35,9.3,2
7.1,0.17,0.26,6.5,0.044,43,159,0.9917,3.08,0.57,9.7,2
9.2,0.74,0.31,6.8,0.08,20,59,0.9963,3.37,0.71,10.2,2
7.0,0.34,0.34,11.9,0.01,18,27,0.996,3.07,0.59,11.6,3
9.1,0.5,0.24,2.2,0.052,11,51,0.9942,3.35,0.75,12.0,2
6.7,0.29,0.38,3.0,0.045,26,250,0.9929,3.13,0.54,10.4,2
6.0,0.08,0.08,14.7,0.018,38,146,0.9927,3.3,0.52,11.4,2
7.1,0.29,0.31,14.8,0.013,53,106,0.9916,3.05,0.49,12.4,2
8.4,0.23,0.25,2.4,0.057,50,118,0.9994,3.24,0.55,10.8,2
7.1,0.35,0.22,65.8,0.069,30,174,0.9957,3.23,0.51,12.0,3
